year,city,country,avg_temp
1840,Guangzhou,China,20.98
1841,Guangzhou,China,21.02
1842,Guangzhou,China,21.16
1843,Guangzhou,China,21.25
1844,Guangzhou,China,20.86
1845,Guangzhou,China,20.84
1846,Guangzhou,China,21.46
1847,Guangzhou,China,21.07
1848,Guangzhou,China,20.75
1849,Guangzhou,China,21.03
1850,Guangzhou,China,21.21
1851,Guangzhou,China,21.33
1852,Guangzhou,China,21.28
1853,Guangzhou,China,21.78
1854,Guangzhou,China,21.64
1855,Guangzhou,China,21.09
1856,Guangzhou,China,20.60
1857,Guangzhou,China,21.12
1858,Guangzhou,China,21.05
1859,Guangzhou,China,21.28
1860,Guangzhou,China,21.28
1861,Guangzhou,China,21.02
1862,Guangzhou,China,20.40
1863,Guangzhou,China,20.88
1864,Guangzhou,China,20.74
1865,Guangzhou,China,21.65
1866,Guangzhou,China,21.27
1867,Guangzhou,China,21.57
1868,Guangzhou,China,21.79
1869,Guangzhou,China,21.53
1870,Guangzhou,China,21.73
1871,Guangzhou,China,21.52
1872,Guangzhou,China,21.68
1873,Guangzhou,China,21.28
1874,Guangzhou,China,21.56
1875,Guangzhou,China,21.47
1876,Guangzhou,China,20.97
1877,Guangzhou,China,21.49
1878,Guangzhou,China,21.58
1879,Guangzhou,China,21.66
1880,Guangzhou,China,20.87
1881,Guangzhou,China,21.25
1882,Guangzhou,China,21.11
1883,Guangzhou,China,20.77
1884,Guangzhou,China,20.41
1885,Guangzhou,China,20.67
1886,Guangzhou,China,20.71
1887,Guangzhou,China,21.05
1888,Guangzhou,China,21.54
1889,Guangzhou,China,21.39
1890,Guangzhou,China,21.53
1891,Guangzhou,China,21.46
1892,Guangzhou,China,20.92
1893,Guangzhou,China,20.70
1894,Guangzhou,China,21.28
1895,Guangzhou,China,21.20
1896,Guangzhou,China,21.34
1897,Guangzhou,China,21.36
1898,Guangzhou,China,21.52
1899,Guangzhou,China,21.25
1900,Guangzhou,China,21.22
1901,Guangzhou,China,21.34
1902,Guangzhou,China,22.07
1903,Guangzhou,China,21.13
1904,Guangzhou,China,21.27
1905,Guangzhou,China,21.09
1906,Guangzhou,China,21.41
1907,Guangzhou,China,21.41
1908,Guangzhou,China,21.28
1909,Guangzhou,China,21.62
1910,Guangzhou,China,21.30
1911,Guangzhou,China,21.41
1912,Guangzhou,China,21.32
1913,Guangzhou,China,21.20
1914,Guangzhou,China,22.09
1915,Guangzhou,China,21.93
1916,Guangzhou,China,21.23
1917,Guangzhou,China,20.87
1918,Guangzhou,China,21.18
1919,Guangzhou,China,21.69
1920,Guangzhou,China,21.48
1921,Guangzhou,China,21.60
1922,Guangzhou,China,21.73
1923,Guangzhou,China,21.98
1924,Guangzhou,China,21.74
1925,Guangzhou,China,21.26
1926,Guangzhou,China,21.46
1927,Guangzhou,China,21.47
1928,Guangzhou,China,21.93
1929,Guangzhou,China,21.83
1930,Guangzhou,China,21.54
1931,Guangzhou,China,21.54
1932,Guangzhou,China,21.42
1933,Guangzhou,China,21.65
1934,Guangzhou,China,21.17
1935,Guangzhou,China,21.75
1936,Guangzhou,China,21.22
1937,Guangzhou,China,22.02
1938,Guangzhou,China,22.08
1939,Guangzhou,China,21.77
1940,Guangzhou,China,22.12
1941,Guangzhou,China,22.14
1942,Guangzhou,China,22.24
1943,Guangzhou,China,22.20
1944,Guangzhou,China,21.84
1945,Guangzhou,China,21.74
1946,Guangzhou,China,22.81
1947,Guangzhou,China,21.68
1948,Guangzhou,China,22.20
1949,Guangzhou,China,22.27
1950,Guangzhou,China,22.13
1951,Guangzhou,China,21.72
1952,Guangzhou,China,22.26
1953,Guangzhou,China,22.09
1954,Guangzhou,China,21.86
1955,Guangzhou,China,21.86
1956,Guangzhou,China,21.70
1957,Guangzhou,China,21.60
1958,Guangzhou,China,21.97
1959,Guangzhou,China,22.04
1960,Guangzhou,China,22.09
1961,Guangzhou,China,21.98
1962,Guangzhou,China,21.72
1963,Guangzhou,China,22.17
1964,Guangzhou,China,21.93
1965,Guangzhou,China,22.04
1966,Guangzhou,China,22.46
1967,Guangzhou,China,21.53
1968,Guangzhou,China,21.92
1969,Guangzhou,China,21.43
1970,Guangzhou,China,21.52
1971,Guangzhou,China,21.66
1972,Guangzhou,China,21.80
1973,Guangzhou,China,22.23
1974,Guangzhou,China,21.72
1975,Guangzhou,China,21.84
1976,Guangzhou,China,21.33
1977,Guangzhou,China,22.18
1978,Guangzhou,China,21.92
1979,Guangzhou,China,21.98
1980,Guangzhou,China,22.14
1981,Guangzhou,China,22.06
1982,Guangzhou,China,21.92
1983,Guangzhou,China,21.70
1984,Guangzhou,China,21.18
1985,Guangzhou,China,21.56
1986,Guangzhou,China,22.02
1987,Guangzhou,China,22.57
1988,Guangzhou,China,21.62
1989,Guangzhou,China,22.10
1990,Guangzhou,China,22.42
1991,Guangzhou,China,22.21
1992,Guangzhou,China,21.49
1993,Guangzhou,China,21.57
1994,Guangzhou,China,22.02
1995,Guangzhou,China,21.47
1996,Guangzhou,China,21.54
1997,Guangzhou,China,21.86
1998,Guangzhou,China,22.64
1999,Guangzhou,China,22.33
2000,Guangzhou,China,22.09
2001,Guangzhou,China,22.12
2002,Guangzhou,China,22.40
2003,Guangzhou,China,22.47
2004,Guangzhou,China,22.18
2005,Guangzhou,China,22.06
2006,Guangzhou,China,22.49
2007,Guangzhou,China,22.54
2008,Guangzhou,China,21.78
2009,Guangzhou,China,22.42
2010,Guangzhou,China,22.00
2011,Guangzhou,China,21.68
2012,Guangzhou,China,21.95
2013,Guangzhou,China,22.93
